V,I,G,P,no_module_fault,fault,partial_shading
135.92637,10.61282,902.4129,1442.562098,0,0,0
137.92571,10.63899,902.65519,1467.390249,0,0,0
136.80603,10.64178,902.39353,1455.859674,0,0,0
137.22081,10.61649,902.29921,1456.803357,0,0,0
135.99495,10.62328,902.38225,1444.712432,0,0,0
134.65971,10.61775,902.37948,1429.783136,0,0,0
139.71714,10.61493,902.40375,1483.087661,0,0,0
135.80439,10.56433,902.26068,1434.682391,0,0,0
137.88725,10.61566,902.4606,1463.764164,0,0,0
136.2552,10.63569,902.40503,1449.168068,0,0,0
137.85197,10.62962,902.4672,1465.314057,0,0,0
138.24721,10.59126,902.43632,1464.212145,0,0,0
137.54753,10.57717,902.40375,1454.863608,0,0,0
135.59485,10.62195,902.45059,1440.281717,0,0,0
136.35663,10.61927,902.49423,1448.00787,0,0,0
135.14469,10.57918,902.68798,1429.720002,0,0,0
140.48748,10.57898,902.39843,1486.214241,0,0,0
133.66793,10.63097,902.25621,1421.019754,0,0,0
135.54975,10.70972,902.29559,1451.699869,0,0,0
136.75714,10.68991,902.42589,1461.921518,0,0,0
135.74507,10.68938,902.33115,1451.030636,0,0,0
137.68434,10.72138,902.27984,1476.166129,0,0,0
139.15912,10.69404,902.33839,1488.173196,0,0,0
136.22747,10.64749,902.28729,1450.480625,0,0,0
137.60543,10.66273,902.33115,1467.249547,0,0,0
135.56893,10.69245,902.37309,1449.564006,0,0,0
137.32103,10.69961,902.3963,1469.281466,0,0,0
135.07514,10.68681,902.2677,1443.522357,0,0,0
135.66722,10.67337,902.71438,1448.026436,0,0,0
137.02372,10.69551,902.74227,1465.538567,0,0,0
134.05862,10.67388,902.48423,1430.925623,0,0,0
137.32569,10.65343,902.55087,1462.989626,0,0,0
137.21884,10.71005,902.75802,1469.620637,0,0,0
135.21757,10.69081,902.59132,1445.58535,0,0,0
137.53918,10.65986,902.64263,1466.148403,0,0,0
137.27776,10.67094,902.59749,1464.88274,0,0,0
134.5518,10.72702,902.72289,1443.33985,0,0,0
134.98541,10.73384,902.91664,1448.911793,0,0,0
135.40277,10.63339,902.30539,1439.79046,0,0,0
137.22476,10.60153,902.15188,1454.79241,0,0,0
138.21892,10.58347,902.05565,1462.835793,0,0,0
135.56483,10.62576,902.09461,1440.479348,0,0,0
134.84515,10.61687,902.06779,1431.633428,0,0,0
135.91063,10.57897,902.05608,1437.794477,0,0,0
137.09109,10.58702,901.96836,1451.386112,0,0,0
135.92465,10.61333,902.15316,1442.613166,0,0,0
137.06862,10.59507,902.35904,1452.251624,0,0,0
