V,I,G,P,no_module_fault,fault,partial_shading
141.91783,9.79093,842.73364,1389.507539,0,0,0
139.00035,9.77883,842.86798,1359.260793,0,0,0
142.57287,9.76716,842.47389,1392.532033,0,0,0
141.78982,9.76226,842.42088,1384.189088,0,0,0
139.38587,9.80375,842.57055,1366.504223,0,0,0
140.32496,9.77375,843.04086,1371.501078,0,0,0
139.60457,9.79598,843.41685,1367.563576,0,0,0
137.36157,9.82524,843.07939,1349.610392,0,0,0
142.78844,9.76163,842.78601,1393.84792,0,0,0
139.79119,9.72919,843.17861,1360.055048,0,0,0
140.47311,9.79667,843.07343,1376.168703,0,0,0
140.82361,9.83125,842.92078,1384.472116,0,0,0
142.51871,9.78994,843.05427,1395.24962,0,0,0
138.28234,9.77335,843.03681,1351.481708,0,0,0
139.34923,9.79481,843.30614,1364.899231,0,0,0
138.70112,9.83649,842.95293,1364.33218,0,0,0
138.37987,9.81168,842.91312,1357.739003,0,0,0
138.40791,9.76027,843.19053,1350.898572,0,0,0
140.6787,9.77471,843.25525,1375.093496,0,0,0
134.74453,9.79632,842.74705,1320.000534,0,0,0
138.7411,9.77463,842.93781,1356.142918,0,0,0
140.32805,9.76277,843.18691,1369.990477,0,0,0
138.07968,9.7735,842.86819,1349.521752,0,0,0
139.14981,9.82424,842.98103,1367.041129,0,0,0
138.22494,9.80747,842.99913,1355.636952,0,0,0
141.21667,9.81488,843.33105,1386.02467,0,0,0
137.51478,9.80609,843.35362,1348.482309,0,0,0
141.51595,9.77986,843.30039,1384.006179,0,0,0
141.75384,9.79296,843.08493,1388.189685,0,0,0
141.21419,9.81489,843.32402,1386.001741,0,0,0
143.42784,9.77544,843.4358,1402.070244,0,0,0
142.01663,9.74367,843.05619,1383.763177,0,0,0
141.48311,9.76298,843.16839,1381.296773,0,0,0
138.89274,9.82924,843.37704,1365.210076,0,0,0
140.5965,9.80149,843.04937,1378.055189,0,0,0
142.44872,9.76695,843.04065,1391.289526,0,0,0
141.44514,9.78167,843.08088,1383.569683,0,0,0
140.20673,9.81436,843.19479,1376.039323,0,0,0
139.72159,9.76773,843.10367,1364.762766,0,0,0
139.71942,9.77624,843.43154,1365.930583,0,0,0
141.89743,9.79627,843.10367,1390.065537,0,0,0
137.67659,9.80881,843.10068,1350.443513,0,0,0
139.55568,9.79221,843.27633,1366.558525,0,0,0
141.46458,9.7739,843.04384,1382.660658,0,0,0
140.3986,9.8087,843.23886,1377.127748,0,0,0
142.83945,9.77112,843.60633,1395.701407,0,0,0
140.40579,9.79903,843.42111,1375.840548,0,0,0
139.40354,9.85662,843.44942,1374.04772,0,0,0
138.85777,9.80298,843.42835,1361.219942,0,0,0
139.71506,9.76353,843.40854,1364.11218,0,0,0
141.16667,9.79357,843.38811,1382.525664,0,0,0
138.58805,9.80557,843.31529,1358.934825,0,0,0
140.76505,9.8048,843.77581,1380.173162,0,0,0
138.30182,9.78773,843.7262,1353.660873,0,0,0
139.1861,9.79036,843.30443,1362.682026,0,0,0
140.01151,9.83247,843.40769,1376.658972,0,0,0
140.54695,9.7629,843.33296,1372.145818,0,0,0
138.30284,9.78778,843.37618,1353.677771,0,0,0
140.49472,9.83325,843.49435,1381.519705,0,0,0
140.82857,9.80606,843.48306,1380.973407,0,0,0
140.97687,9.75053,843.47987,1374.5992,0,0,0
143.64406,9.76302,843.05555,1402.399831,0,0,0
139.72412,9.84417,843.34914,1375.46799,0,0,0
141.57527,9.82351,843.40876,1390.766081,0,0,0
139.41138,9.75315,843.29464,1359.700101,0,0,0
140.58481,9.76877,843.45794,1373.340674,0,0,0
140.13597,9.79861,843.77431,1373.137717,0,0,0
139.52015,9.78972,843.525,1365.863203,0,0,0
138.37608,9.78613,843.48562,1354.166308,0,0,0
137.87348,9.79078,843.48327,1349.888911,0,0,0
140.12827,9.80914,843.35851,1374.537818,0,0,0
140.19306,9.79041,843.42749,1372.547537,0,0,0
139.76254,9.81929,843.04554,1372.368911,0,0,0
139.08973,9.81467,843.36234,1365.1198,0,0,0
140.38529,9.79178,843.4886,1374.621875,0,0,0
139.78638,9.80963,843.33637,1371.252667,0,0,0
141.86929,9.84329,843.43878,1396.460564,0,0,0
139.18504,9.79238,843.25291,1362.952802,0,0,0
141.04408,9.76506,843.28378,1377.303904,0,0,0
139.64729,9.79428,843.24801,1367.74466,0,0,0
140.7159,9.80409,843.12134,1379.591348,0,0,0
140.86592,9.77206,843.23588,1376.550222,0,0,0
141.53655,9.78997,843.05683,1385.638578,0,0,0
140.06642,9.80936,843.40748,1373.961938,0,0,0
