V,I,G,P,no_module_fault,fault,partial_shading
137.01684,9.81978,831.24063,1345.475225,0,0,0
138.78038,9.81072,831.24659,1361.53545,0,0,0
134.49278,9.83668,831.15206,1322.962439,0,0,0
137.58852,9.8202,831.28959,1351.146784,0,0,0
137.85577,9.78677,831.34921,1349.162714,0,0,0
138.13657,9.82284,831.26,1356.893425,0,0,0
138.71296,9.82567,831.29555,1362.94777,0,0,0
138.22813,9.80277,831.27022,1355.018566,0,0,0
139.19987,9.81263,831.11608,1365.91682,0,0,0
140.52392,9.80678,831.13013,1378.087168,0,0,0
137.87621,9.81705,831.14737,1353.537647,0,0,0
138.45574,9.79879,831.14716,1356.698721,0,0,0
137.9573,9.80214,830.86868,1352.276769,0,0,0
140.09684,9.8267,830.98365,1376.689618,0,0,0
138.75907,9.82198,831.15908,1362.88881,0,0,0
137.85804,9.8313,831.18868,1355.323749,0,0,0
135.95132,9.85287,830.91297,1339.510682,0,0,0
137.92025,9.81082,831.24616,1353.110747,0,0,0
137.46401,9.82212,831.03049,1350.188002,0,0,0
136.65161,9.83858,831.05731,1344.457797,0,0,0
138.1511,9.82995,831.24744,1358.018405,0,0,0
138.00705,9.78947,831.15823,1351.015876,0,0,0
140.18081,9.81157,831.2402,1375.39383,0,0,0
137.38673,9.85612,831.25127,1354.100097,0,0,0
140.20435,9.8191,831.15951,1376.680533,0,0,0
137.94449,9.76129,831.14461,1346.516171,0,0,0
137.90602,9.81175,831.59618,1353.099392,0,0,0
139.87617,9.83077,831.2385,1375.090456,0,0,0
138.70218,9.80656,831.31599,1360.19125,0,0,0
137.45774,9.84156,831.22466,1352.798596,0,0,0
137.4918,9.86385,831.23914,1356.198491,0,0,0
137.20249,9.81386,831.34474,1346.486029,0,0,0
138.59184,9.77975,831.22636,1355.393547,0,0,0
138.24382,9.82744,831.21614,1358.582846,0,0,0
136.03691,9.84248,831.25787,1338.940566,0,0,0
137.01573,9.80172,831.12225,1342.989821,0,0,0
138.42856,9.77107,830.90168,1352.59515,0,0,0
137.42119,9.83128,831.88083,1351.026197,0,0,0
139.30317,9.80606,831.90978,1366.015243,0,0,0
139.26237,9.79608,831.93853,1364.225318,0,0,0
139.85724,9.83319,831.42968,1375.242814,0,0,0
136.34717,9.82958,832.09352,1340.235415,0,0,0
133.33605,9.77009,831.79375,1302.705209,0,0,0
139.8997,9.79489,831.90936,1370.302173,0,0,0
139.76416,9.82336,832.04349,1372.953659,0,0,0
140.92883,9.82625,831.91,1384.801916,0,0,0
139.48108,9.8101,832.08437,1368.323343,0,0,0
140.90383,9.80478,831.59618,1381.531054,0,0,0
137.0753,9.80592,831.42841,1344.149426,0,0,0
138.69692,9.83613,831.73946,1364.240936,0,0,0
136.79475,9.83051,831.72051,1344.762158,0,0,0
138.84248,9.81596,831.52826,1362.87223,0,0,0
136.61937,9.82712,831.53678,1342.574943,0,0,0
137.2198,9.84132,831.61023,1350.423962,0,0,0
138.03003,9.81349,831.5883,1354.556319,0,0,0
137.62178,9.79967,831.3458,1348.648029,0,0,0
137.4792,9.79965,831.57276,1347.248042,0,0,0
135.76739,9.91477,831.17143,1346.102445,0,0,0
136.27408,9.91349,831.26213,1350.951729,0,0,0
134.30187,9.9106,831.38391,1331.012113,0,0,0
134.76245,9.90982,831.55274,1335.471622,0,0,0
138.50666,9.91726,831.24829,1373.606559,0,0,0
135.80859,9.92308,831.3343,1347.639503,0,0,0
136.28122,9.88667,831.04646,1347.367449,0,0,0
132.71462,9.88494,831.20614,1311.876056,0,0,0
141.2187,9.91279,831.25553,1399.871317,0,0,0
135.99788,9.89014,831.21635,1345.038073,0,0,0
136.80411,9.89348,830.92404,1353.468726,0,0,0
135.70523,9.89361,830.9977,1342.614621,0,0,0
137.19222,9.9151,831.10628,1360.274581,0,0,0
134.53692,9.91667,831.14482,1334.158238,0,0,0
135.109,9.90034,831.1627,1337.625037,0,0,0
136.03331,9.88029,831.10735,1344.048552,0,0,0
135.50167,9.90893,831.15738,1342.676563,0,0,0
135.34244,9.93882,831.09862,1345.14415,0,0,0
138.74854,9.90884,831.10032,1374.837083,0,0,0
138.67414,9.89988,830.94,1372.857345,0,0,0
135.68403,9.90197,831.72477,1343.539195,0,0,0
135.93548,9.8989,831.722,1345.611723,0,0,0
137.13047,9.89987,831.69688,1357.573826,0,0,0
135.38277,9.90703,831.63194,1341.241164,0,0,0
139.23408,9.91834,831.63876,1380.970945,0,0,0
135.47211,9.88462,831.67538,1339.090328,0,0,0
136.53024,9.92256,832.01943,1354.729498,0,0,0
135.11553,9.95737,831.77502,1345.395325,0,0,0
136.74646,9.92939,831.67112,1357.808932,0,0,0
136.57392,9.88539,831.73733,1350.086463,0,0,0
134.60859,9.89577,832.36178,1332.055647,0,0,0
139.41093,9.89142,832.46994,1378.972061,0,0,0
135.48846,9.89622,832.45397,1340.823608,0,0,0
135.86776,9.87868,831.91489,1342.194123,0,0,0
135.61362,9.89412,832.57149,1341.77743,0,0,0
137.99126,9.92777,832.30302,1369.945491,0,0,0
138.26857,9.89849,832.23489,1368.650057,0,0,0
137.13447,9.8873,832.49932,1355.889645,0,0,0
134.4448,9.89826,832.29706,1330.769586,0,0,0
133.41648,9.92762,832.4067,1324.508115,0,0,0
137.55502,9.89713,832.39286,1361.399915,0,0,0
137.72366,9.91798,832.29237,1365.940505,0,0,0
137.00717,9.91816,832.35156,1358.859033,0,0,0
136.57498,9.92404,832.42225,1355.375565,0,0,0
136.30015,9.91407,832.29408,1351.289228,0,0,0
137.04711,9.92557,832.28875,1360.270684,0,0,0
135.995,9.91514,832.27321,1348.409464,0,0,0
135.73069,9.92246,832.19316,1346.782342,0,0,0
137.6981,9.89805,832.26874,1362.942679,0,0,0
136.72956,9.88407,832.23255,1351.444542,0,0,0
134.78786,9.89673,832.3505,1333.959058,0,0,0
136.01904,9.91675,832.0718,1348.866815,0,0,0
134.88615,9.90688,832.19465,1336.300902,0,0,0
136.4814,9.89353,832.05073,1350.282825,0,0,0
135.94626,9.91774,832.08309,1348.279661,0,0,0
132.66603,9.91938,831.85187,1315.964765,0,0,0
138.25951,9.88001,832.07798,1366.005341,0,0,0
135.92358,9.93244,832.19337,1350.052803,0,0,0
137.59273,9.92175,832.11928,1365.160669,0,0,0
138.73974,9.89573,832.14398,1372.931007,0,0,0
135.75732,9.90623,832.92193,1344.843236,0,0,0
134.84708,9.92051,832.88404,1337.751806,0,0,0
136.93196,9.9152,832.58512,1357.70777,0,0,0
136.17888,9.91761,832.58363,1350.569022,0,0,0
138.53951,9.93308,832.57703,1376.124036,0,0,0
138.39587,9.89105,832.62791,1368.88047,0,0,0
135.68555,9.89667,832.54488,1342.835112,0,0,0
137.25128,9.8812,832.4891,1356.207348,0,0,0
134.94319,9.87629,832.51145,1332.738078,0,0,0
133.90915,9.92101,832.74458,1328.514016,0,0,0
136.61618,9.92177,832.84997,1355.474316,0,0,0
135.21398,9.89116,832.58107,1337.42311,0,0,0
137.17466,9.90696,833.11206,1358.98387,0,0,0
135.7477,9.91933,832.99177,1346.526233,0,0,0
137.31885,9.90964,833.08587,1360.780369,0,0,0
135.11305,9.89271,833.12973,1336.634221,0,0,0
137.70645,9.88866,833.1112,1361.732264,0,0,0
135.34451,9.88613,832.81016,1338.033421,0,0,0
136.84344,9.90224,833.12653,1355.056585,0,0,0
136.55261,9.90906,833.15911,1353.108006,0,0,0
136.49658,9.91874,833.18764,1353.874088,0,0,0
137.02909,9.92441,833.16337,1359.932871,0,0,0
136.39323,9.92421,833.27408,1353.595057,0,0,0
138.1677,9.92133,833.14995,1370.807347,0,0,0
134.72095,9.92893,833.17167,1337.634882,0,0,0
137.29309,9.92351,833.31176,1362.429352,0,0,0
135.45439,9.89458,833.25513,1340.264298,0,0,0
135.17359,9.88927,833.41587,1336.768128,0,0,0
135.65781,9.91074,833.42524,1344.469284,0,0,0
134.58034,9.90834,833.44845,1333.467766,0,0,0
134.96314,9.90654,832.79696,1337.017745,0,0,0
133.39573,9.90274,833.03541,1320.983231,0,0,0
135.18457,9.89329,832.83911,1337.420155,0,0,0
136.00659,9.92108,832.96111,1349.33226,0,0,0
137.29603,9.90083,832.78312,1359.344653,0,0,0
136.92062,9.91445,832.85295,1357.492641,0,0,0
133.41835,9.9279,832.84507,1324.564037,0,0,0
137.14611,9.92373,832.91597,1361.000966,0,0,0
136.45321,9.89956,832.8636,1350.82674,0,0,0
139.06984,9.88501,833.00539,1374.706759,0,0,0
136.5102,9.90509,832.7531,1352.145817,0,0,0
136.37435,9.88305,832.87382,1347.79452,0,0,0
137.29117,9.91824,832.867,1361.686774,0,0,0
139.72736,9.9328,832.77588,1387.883921,0,0,0
138.61269,9.89198,832.74075,1371.153957,0,0,0
138.36823,9.89491,833.09715,1369.141183,0,0,0
137.69638,9.88382,833.09311,1360.966235,0,0,0
138.3163,9.89169,832.96175,1368.181962,0,0,0
135.19196,9.91076,833.05862,1339.855069,0,0,0
136.78888,9.90547,833.04222,1354.958147,0,0,0
139.02768,9.9384,833.25257,1381.712695,0,0,0
137.10258,9.9075,833.21936,1358.343811,0,0,0
137.35444,9.90893,833.38457,1361.035531,0,0,0
137.40485,9.92987,833.34008,1364.412298,0,0,0
136.50438,9.93877,833.24555,1356.685637,0,0,0
137.1618,9.89998,833.30772,1357.899077,0,0,0
136.16709,9.89935,833.20062,1347.965682,0,0,0
134.42476,9.93573,833.31964,1335.608121,0,0,0
136.02886,9.92245,833.31133,1349.739562,0,0,0
135.38394,9.88539,833.22383,1338.323047,0,0,0
135.40945,9.91278,832.35071,1342.284088,0,0,0
134.50245,9.92301,832.04157,1334.669156,0,0,0
133.31662,9.89018,831.97153,1318.525369,0,0,0
135.27446,9.88964,832.5123,1337.815711,0,0,0
137.5332,9.91678,832.06308,1363.886487,0,0,0
136.14041,9.90694,832.43161,1348.734873,0,0,0
138.03458,9.90172,832.35518,1366.779761,0,0,0
135.29304,9.91146,832.29003,1340.951554,0,0,0
135.48512,9.92062,832.34006,1344.096391,0,0,0
139.17188,9.90825,832.29301,1378.94978,0,0,0
138.48348,9.99521,832.48612,1384.171464,0,0,0
133.06648,10.006,832.47867,1331.463199,0,0,0
134.84541,9.98905,832.52146,1346.977543,0,0,0
137.33125,9.99279,832.62429,1372.322342,0,0,0
135.86462,10.00882,832.60023,1359.844526,0,0,0
135.1541,9.99939,832.62067,1351.458556,0,0,0
136.14892,9.97731,832.61833,1358.399981,0,0,0
135.18067,9.98633,832.5898,1349.95878,0,0,0
135.25462,9.99807,832.51827,1352.285159,0,0,0
135.53259,9.9836,832.67709,1353.103166,0,0,0
138.4814,9.9301,833.1359,1375.13415,0,0,0
134.27868,9.90154,832.85742,1329.565721,0,0,0
135.80768,9.87799,832.90171,1341.506905,0,0,0
135.46968,9.89975,832.86679,1341.115965,0,0,0
133.60805,9.92373,832.80909,1325.890214,0,0,0
136.27479,9.92622,832.63771,1352.693546,0,0,0
136.39323,9.89339,832.73394,1349.391418,0,0,0
137.52865,9.88354,832.90256,1359.269913,0,0,0
136.13181,9.92436,832.88084,1351.02109,0,0,0
138.49117,9.93548,832.98495,1375.97625,0,0,0
134.8279,9.90274,833.53297,1335.165638,0,0,0
135.6902,9.91259,833.26599,1345.04132,0,0,0
138.43271,9.91172,833.53723,1372.10626,0,0,0
136.73634,9.91571,833.36115,1355.837894,0,0,0
137.40556,9.9423,833.49443,1366.127299,0,0,0
135.76997,9.90766,833.54127,1345.162701,0,0,0
135.25012,9.91503,833.65028,1341.008997,0,0,0
135.70706,9.93766,833.39075,1348.610622,0,0,0
136.86748,9.94121,833.46931,1360.628361,0,0,0
135.37574,9.93548,833.5351,1345.022957,0,0,0
137.38835,9.84609,832.93747,1352.738059,0,0,0
137.37979,9.86045,832.97431,1354.62655,0,0,0
138.49876,9.8415,832.97729,1363.035547,0,0,0
138.13131,9.83585,833.05947,1358.638845,0,0,0
