V,I,G,P,no_module_fault,fault,partial_shading
137.29997,10.43945,894.55524,1433.336172,0,0,0
139.56196,10.39346,894.6998,1450.531649,0,0,0
138.2545,10.45177,894.45645,1445.004235,0,0,0
137.65321,10.45392,894.46773,1439.015645,0,0,0
139.00267,10.42807,894.46901,1449.529573,0,0,0
138.20232,10.47517,894.61442,1447.692796,0,0,0
137.93067,10.46776,894.4128,1443.82515,0,0,0
139.38288,10.40376,894.48029,1450.106032,0,0,0
137.1127,10.42218,894.33893,1429.01324,0,0,0
138.73791,10.45804,894.28229,1450.926612,0,0,0
137.13862,10.45939,894.49435,1434.386311,0,0,0
140.95778,10.43309,894.2312,1470.625205,0,0,0
138.83651,10.39356,894.36831,1443.005597,0,0,0
136.02648,10.54811,894.6651,1434.822274,0,0,0
138.00786,10.54382,894.46518,1455.130034,0,0,0
135.82301,10.52678,894.47178,1429.778945,0,0,0
136.76129,10.54869,894.67893,1442.652452,0,0,0
135.94216,10.52661,894.81498,1431.010101,0,0,0
138.65941,10.55507,894.83265,1463.559779,0,0,0
136.79222,10.57264,894.80114,1446.254897,0,0,0
137.63003,10.56914,894.65403,1454.631055,0,0,0
136.72414,10.54179,894.79518,1441.317172,0,0,0
135.49519,10.54663,894.61868,1429.017636,0,0,0
137.43982,10.53307,894.26547,1447.663245,0,0,0
135.94666,10.57468,894.48136,1437.592427,0,0,0
138.31276,10.52668,894.50989,1455.974164,0,0,0
137.13153,10.48866,894.26462,1438.325993,0,0,0
139.29163,10.55647,894.35958,1470.427913,0,0,0
138.21689,10.55495,894.64061,1458.872363,0,0,0
138.84041,10.50895,894.28251,1459.066927,0,0,0
137.60497,10.54529,894.2412,1451.084314,0,0,0
137.15547,10.56939,894.49051,1449.649653,0,0,0
136.96354,10.56969,894.47093,1447.662159,0,0,0
135.01041,10.51938,894.50393,1420.225807,0,0,0
137.51407,10.54033,894.14902,1449.443677,0,0,0
136.39632,10.57446,894.48711,1442.31743,0,0,0
135.68772,10.55246,894.11431,1431.839238,0,0,0
139.32311,10.51875,894.30337,1465.504963,0,0,0
136.08641,10.51726,894.24759,1431.256156,0,0,0
137.52946,10.55648,894.16541,1451.826994,0,0,0
136.19138,10.59554,894.43793,1443.021214,0,0,0
138.21158,10.55464,894.33446,1458.773471,0,0,0
137.33839,10.5206,894.33829,1444.882266,0,0,0
135.96271,10.54897,894.27037,1434.266549,0,0,0
136.13682,10.55354,894.08451,1436.725375,0,0,0
139.59612,10.52985,894.40812,1469.926204,0,0,0
137.30792,10.53137,894.44346,1446.040509,0,0,0
135.89134,10.55515,894.16647,1434.353477,0,0,0
136.05083,10.58605,894.21353,1440.240889,0,0,0
138.13905,10.53334,894.23013,1455.065581,0,0,0
135.3728,10.51264,894.15562,1423.125512,0,0,0
138.62413,10.54596,894.24972,1461.92453,0,0,0
138.36504,10.53373,894.13731,1457.499973,0,0,0
138.65713,10.51108,894.89014,1457.436186,0,0,0
137.49266,10.50033,894.59207,1443.718303,0,0,0
137.12262,10.57173,894.68979,1449.623316,0,0,0
136.53854,10.58904,894.53437,1445.812062,0,0,0
140.29894,10.4878,894.55141,1471.427223,0,0,0
136.17053,10.51327,894.69937,1431.597548,0,0,0
135.32912,10.57389,894.38491,1430.955229,0,0,0
137.25594,10.54873,894.51415,1447.875852,0,0,0
138.1306,10.50469,894.45155,1451.019133,0,0,0
138.52108,10.51146,894.24142,1456.058792,0,0,0
136.48443,10.62407,894.27782,1450.020138,0,0,0
136.10073,10.59556,894.32424,1442.063451,0,0,0
135.36956,10.62599,894.46028,1438.435591,0,0,0
138.14517,10.63745,894.25313,1469.512339,0,0,0
137.07105,10.59984,894.42111,1452.931199,0,0,0
135.49989,10.6164,894.54033,1438.521032,0,0,0
134.40633,10.63297,894.40408,1429.138475,0,0,0
135.74314,10.6034,894.69618,1439.338811,0,0,0
135.95987,10.5954,894.43899,1440.549207,0,0,0
135.1457,10.59966,894.54523,1432.49847,0,0,0
135.77377,10.65711,894.11921,1446.956002,0,0,0
135.78333,10.61949,894.22332,1441.949715,0,0,0
135.77746,10.6362,894.15349,1444.15622,0,0,0
135.11639,10.64332,893.94697,1438.086976,0,0,0
137.37276,10.60361,893.97209,1456.647172,0,0,0
134.62665,10.64066,894.13539,1432.51641,0,0,0
135.41755,10.64782,893.90886,1441.901697,0,0,0
134.7047,10.59382,894.12964,1427.037345,0,0,0
137.81036,10.58687,893.96379,1458.980366,0,0,0
133.46547,10.64294,893.83349,1420.464989,0,0,0
139.01472,10.56299,894.92399,1468.411097,0,0,0
139.22689,10.55561,894.85863,1469.624752,0,0,0
138.55884,10.53733,895.06259,1460.040221,0,0,0
137.10572,10.52933,894.87459,1443.631371,0,0,0
137.05966,10.55291,894.95316,1446.378257,0,0,0
136.38093,10.5375,894.70746,1437.11405,0,0,0
138.48282,10.57409,894.84734,1464.329802,0,0,0
136.23263,10.56689,894.91036,1439.555216,0,0,0
138.42719,10.5298,894.74664,1457.610625,0,0,0
139.60594,10.50889,894.81157,1467.103467,0,0,0
134.44434,10.52182,894.57014,1414.599145,0,0,0
139.18812,10.5226,894.85224,1464.620912,0,0,0
135.33059,10.5607,894.87928,1429.185762,0,0,0
138.143,10.5753,894.55055,1460.903668,0,0,0
137.07525,10.5184,894.54885,1441.81231,0,0,0
136.9188,10.52527,894.83372,1441.107338,0,0,0
136.52715,10.57527,894.81775,1443.811474,0,0,0
138.044,10.56675,894.94485,1458.676437,0,0,0
138.57084,10.53413,894.95741,1459.723243,0,0,0
137.1619,10.52655,894.74451,1443.841598,0,0,0
136.20641,10.46813,894.20416,1425.826407,0,0,0
138.32222,10.48667,894.31018,1450.539475,0,0,0
137.93401,10.4701,894.14774,1444.182878,0,0,0
136.73244,10.40414,894.23184,1422.583448,0,0,0
139.29644,10.43071,894.26803,1452.96077,0,0,0
137.70676,10.44516,894.09877,1438.369141,0,0,0
143.47921,10.45009,894.40876,1499.370658,0,0,0
136.1804,10.45908,894.19543,1424.321698,0,0,0
137.53928,10.46371,894.40769,1439.17114,0,0,0
139.49297,10.46217,894.51202,1459.399166,0,0,0
138.07973,10.43053,894.327,1440.244766,0,0,0
137.66753,10.46656,894.51138,1440.905463,0,0,0
